1,06361779666  936,67780234
1,14597707627  1096,6260971
1,26168771332  1258,94470757
1,35950918906  1445,20052356
1,46491498303  1659,01213988
1,57863829309  1867,34310761
1,70119009587  2101,83530169
1,83336815623  2334,93777434
1,95461116007  2610,88409347
2,08406376701  2862,54932475
2,24612782105  3138,56898003
2,39481397195  3463,74593749
2,55349919466  3772,78842428
2,75232128028  4055,96553024
2,90346677595  4360,12995962
3,16329566118  4718,38654323
3,30150005866  5005,96089338
3,44595386568  5241,83635649
3,59694861931  5417,28313927
3,79471000921  5747,62974764
4,00358982944  6018,63633825
4,22409692383  6261,21269359
4,50468452185  6599,78904347
4,80405754319  6911,18766512
4,85572865669  7002,67431951
5,06849690049  7237,05719541
5,40550555073  7528,97182582
5,70322643961  7832,42105291
6,01752946362  8094,82408687
6,34876438526  8476,50327875
6,77110666373  8760,75300853
7,29966509729  9054,81228726
7,95461291135  9359,02870871
8,30367708631  9546,20872633
8,76182728749  9737,43082108
9,54796467224  10064,5813201
10,4049556075  10334,7048073
11,0974702611  10611,4275558
12,2247381656  10825,3145518
13,0391700762  10970,2956475
13,6117719442  11116,5368872
14,2099546269  11191,0730345
14,8335155901  11414,8938297
15,4853889969  11491,430454
16,5175570851  11569,1895199
18,0012171336  11724,8519804
18,9955876057  11803,8286982
20,4809107225  11884,0659596
22,0823757986  11964,8486388
23,0528074846  12045,0726986
24,5893767134  12126,5780957
25,6707679191  12128,0651058
27,6788922685  12130,6678121
29,8441043769  12133,271077
31,4936303076  12135,130894
33,5928168499  12217,2456879
35,4506261215  12139,2234948
37,8135635328  12221,3659822
40,3352373553  12223,6140011
42,5633183076  12305,9502997
43,9609730605  12226,6120028
45,4031308884  12227,736443
46,8925992979  12228,8609867
49,4844196964  12230,7354559
53,9325756788  12233,7352043
56,3044216072  12235,2353544
60,0591956299  12237,4859244
65,4579185406  12240,4873285
71,3441197755  12163,435236
74,483973511  12085,3862164
79,4510876535  12087,609223
85,6714894916  11932,616193
93,3696400626  12014,0971715
98,5363532584  11859,3196511
103,982597105  11861,1374762
109,729862565  11862,9555798
115,794787529  11864,7739622
124,852963471  11867,3201657
131,757802508  11791,532679
