#   H  AMS02(2011/06-2013/11)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.076342e+00 1.000000e+00 1.160000e+00 6.269000e+02 8.000000e-01 8.000000e-01 2.680000e+01 2.680000e+01 2.681194e+01 2.681194e+01
1.241418e+00 1.160000e+00 1.330000e+00 6.625000e+02 4.000000e-01 4.000000e-01 2.260000e+01 2.260000e+01 2.260354e+01 2.260354e+01
1.416480e+00 1.330000e+00 1.510000e+00 6.432000e+02 4.000000e-01 4.000000e-01 1.770000e+01 1.770000e+01 1.770452e+01 1.770452e+01
1.606167e+00 1.510000e+00 1.710000e+00 6.059000e+02 3.000000e-01 3.000000e-01 1.510000e+01 1.510000e+01 1.510298e+01 1.510298e+01
1.811252e+00 1.710000e+00 1.920000e+00 5.544000e+02 2.000000e-01 2.000000e-01 1.260000e+01 1.260000e+01 1.260159e+01 1.260159e+01
2.030990e+00 1.920000e+00 2.150000e+00 4.993000e+02 2.000000e-01 2.000000e-01 1.040000e+01 1.040000e+01 1.040192e+01 1.040192e+01
2.270762e+00 2.150000e+00 2.400000e+00 4.420000e+02 2.000000e-01 2.000000e-01 8.500000e+00 8.500000e+00 8.502353e+00 8.502353e+00
2.530564e+00 2.400000e+00 2.670000e+00 3.878000e+02 1.000000e-01 1.000000e-01 6.900000e+00 6.900000e+00 6.900725e+00 6.900725e+00
2.815077e+00 2.670000e+00 2.970000e+00 3.359000e+02 1.000000e-01 1.000000e-01 5.600000e+00 5.600000e+00 5.600893e+00 5.600893e+00
3.124954e+00 2.970000e+00 3.290000e+00 2.882000e+02 1.000000e-01 1.000000e-01 4.600000e+00 4.600000e+00 4.601087e+00 4.601087e+00
3.459547e+00 3.290000e+00 3.640000e+00 2.453000e+02 1.000000e-01 1.000000e-01 3.700000e+00 3.700000e+00 3.701351e+00 3.701351e+00
3.824185e+00 3.640000e+00 4.020000e+00 2.068000e+02 1.000000e-01 1.000000e-01 3.000000e+00 3.000000e+00 3.001666e+00 3.001666e+00
4.218863e+00 4.020000e+00 4.430000e+00 1.731000e+02 1.000000e-01 1.000000e-01 2.500000e+00 2.500000e+00 2.501999e+00 2.501999e+00
4.648290e+00 4.430000e+00 4.880000e+00 1.438000e+02 0.000000e+00 0.000000e+00 2.000000e+00 2.000000e+00 2.000000e+00 2.000000e+00
5.117774e+00 4.880000e+00 5.370000e+00 1.184000e+02 0.000000e+00 0.000000e+00 1.600000e+00 1.600000e+00 1.600000e+00 1.600000e+00
5.627312e+00 5.370000e+00 5.900000e+00 9.691000e+01 3.000000e-02 3.000000e-02 1.300000e+00 1.300000e+00 1.300346e+00 1.300346e+00
6.176898e+00 5.900000e+00 6.470000e+00 7.903000e+01 2.000000e-02 2.000000e-02 1.040000e+00 1.040000e+00 1.040192e+00 1.040192e+00
6.771256e+00 6.470000e+00 7.090000e+00 6.420000e+01 2.000000e-02 2.000000e-02 8.300000e-01 8.300000e-01 8.302409e-01 8.302409e-01
7.415676e+00 7.090000e+00 7.760000e+00 5.197000e+01 2.000000e-02 2.000000e-02 6.700000e-01 6.700000e-01 6.702984e-01 6.702984e-01
8.110154e+00 7.760000e+00 8.480000e+00 4.200000e+01 1.000000e-02 1.000000e-02 5.400000e-01 5.400000e-01 5.400926e-01 5.400926e-01
8.859422e+00 8.480000e+00 9.260000e+00 3.386000e+01 1.000000e-02 1.000000e-02 4.300000e-01 4.300000e-01 4.301163e-01 4.301163e-01
9.668758e+00 9.260000e+00 1.010000e+01 2.724000e+01 1.000000e-02 1.000000e-02 3.400000e-01 3.400000e-01 3.401470e-01 3.401470e-01
1.053816e+01 1.010000e+01 1.100000e+01 2.190000e+01 1.000000e-02 1.000000e-02 2.800000e-01 2.800000e-01 2.801785e-01 2.801785e-01
1.148659e+01 1.100000e+01 1.200000e+01 1.758000e+01 1.000000e-02 1.000000e-02 2.200000e-01 2.200000e-01 2.202272e-01 2.202272e-01
1.248766e+01 1.200000e+01 1.300000e+01 1.417000e+01 1.000000e-02 1.000000e-02 1.800000e-01 1.800000e-01 1.802776e-01 1.802776e-01
1.353623e+01 1.300000e+01 1.410000e+01 1.148000e+01 0.000000e+00 0.000000e+00 1.500000e-01 1.500000e-01 1.500000e-01 1.500000e-01
1.468489e+01 1.410000e+01 1.530000e+01 9.266000e+00 4.000000e-03 4.000000e-03 1.180000e-01 1.180000e-01 1.180678e-01 1.180678e-01
1.593366e+01 1.530000e+01 1.660000e+01 7.460000e+00 3.000000e-03 3.000000e-03 9.500000e-02 9.500000e-02 9.504736e-02 9.504736e-02
1.728253e+01 1.660000e+01 1.800000e+01 5.995000e+00 3.000000e-03 3.000000e-03 7.700000e-02 7.700000e-02 7.705842e-02 7.705842e-02
1.873149e+01 1.800000e+01 1.950000e+01 4.832000e+00 2.000000e-03 2.000000e-03 6.200000e-02 6.200000e-02 6.203225e-02 6.203225e-02
2.028055e+01 1.950000e+01 2.110000e+01 3.894000e+00 2.000000e-03 2.000000e-03 5.000000e-02 5.000000e-02 5.003998e-02 5.003998e-02
